,QUARTER,TIME_REMAINING,DALLAS_ACTION,MINNESOTA_ACTION,DALLAS_SCORE,MINNESOTA_SCORE
268,3,9:46.0,,Defensive rebound by J. Hernangómez,70,44
269,3,9:32.0,,N. Reid misses 2-pt layup from 3 ft (block by D. Finney-Smith),70,44
270,3,9:32.0,,Offensive rebound by Team,70,44
271,3,9:27.0,,N. Reid misses 2-pt layup from 3 ft,70,44
272,3,9:25.0,Defensive rebound by D. Wright,,70,44
273,3,9:19.0,S. Curry misses 3-pt jump shot from 26 ft,,70,44
274,3,9:18.0,,Defensive rebound by J. Hernangómez,70,44
275,3,9:16.0,,Personal foul by D. Finney-Smith (drawn by J. Okogie),70,44
276,3,9:10.0,,Personal foul by T. Hardaway (drawn by M. Beasley),70,44
277,3,8:58.0,,N. Reid misses 2-pt layup from 6 ft (block by K. Porziņģis),70,44
278,3,8:55.0,,Offensive rebound by Team,70,44
279,3,8:52.0,,Turnover by Team (shot clock),70,44
280,3,8:31.0,T. Hardaway misses 3-pt jump shot from 25 ft,,70,44
281,3,8:29.0,,Defensive rebound by D. Russell,70,44
282,3,8:23.0,,J. Okogie makes 3-pt jump shot from 27 ft (assist by D. Russell),70,47
283,3,8:11.0,Offensive foul by K. Porziņģis (drawn by J. Hernangómez),,70,47
284,3,8:11.0,Turnover by K. Porziņģis (offensive foul),,70,47
285,3,7:58.0,,M. Beasley misses 3-pt jump shot from 26 ft,70,47
286,3,7:57.0,Defensive rebound by K. Porziņģis,,70,47
287,3,7:50.0,S. Curry makes 2-pt jump shot from 3 ft (assist by D. Wright),,72,47
288,3,7:38.0,,D. Russell misses 2-pt jump shot from 11 ft,72,47
289,3,7:38.0,Defensive rebound by D. Finney-Smith,,72,47
290,3,7:34.0,Turnover by D. Wright (lost ball; steal by J. Okogie),,72,47
291,3,7:31.0,,J. Okogie makes 2-pt dunk from 2 ft,72,49
292,3,7:22.0,K. Porziņģis misses 3-pt jump shot from 26 ft,,72,49
293,3,7:19.0,,Defensive rebound by N. Reid,72,49
294,3,7:12.0,,M. Beasley misses 2-pt layup from 6 ft,72,49
295,3,7:11.0,,Offensive rebound by N. Reid,72,49
296,3,7:11.0,,N. Reid makes 2-pt layup from 1 ft,72,51
297,3,7:11.0,Dallas full timeout,,72,51
298,3,6:53.0,D. Finney-Smith makes 2-pt layup from 3 ft (assist by D. Wright),,74,51
299,3,6:35.0,,D. Russell misses 3-pt jump shot from 25 ft,74,51
300,3,6:33.0,Defensive rebound by K. Porziņģis,,74,51
301,3,6:19.0,Personal foul by J. Hernangómez (drawn by D. Finney-Smith),,74,51
302,3,6:19.0,J. Jackson enters the game for D. Finney-Smith,,74,51
303,3,6:19.0,M. Kleber enters the game for T. Hardaway,,74,51
304,3,6:19.0,,J. Layman enters the game for J. Hernangómez,74,51
305,3,6:04.0,K. Porziņģis misses 3-pt jump shot from 26 ft,,74,51
306,3,6:00.0,,Defensive rebound by N. Reid,74,51
307,3,5:52.0,,D. Russell makes 2-pt layup from 3 ft (assist by M. Beasley),74,53
308,3,5:37.0,S. Curry makes 2-pt jump shot from 17 ft,,76,53
