,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,NEW YORK_ACTION,MEMPHIS_SCORE,NEW YORK_SCORE
353,4,9:29.0,S. Mack misses 2-pt jump shot from 3 ft,,79,67
354,4,9:29.0,,Defensive rebound by L. Kornet,79,67
355,4,9:21.0,,Shooting foul by J. Jackson (drawn by K. Knox),79,67
356,4,9:21.0,,K. Knox makes free throw 1 of 2,79,68
357,4,9:21.0,M. Conley enters the game for J. Carter,,79,68
358,4,9:21.0,,D. Smith enters the game for K. Allen,79,68
359,4,9:21.0,,K. Knox makes free throw 2 of 2,79,69
360,4,8:57.0,Turnover by Team (shot clock),,79,69
361,4,8:42.0,,L. Kornet misses 3-pt jump shot from 25 ft,79,69
362,4,8:38.0,Defensive rebound by J. Holiday,,79,69
363,4,8:32.0,J. Noah makes 2-pt layup from 1 ft (assist by M. Conley),,81,69
364,4,8:14.0,,Personal foul by J. Jackson (drawn by L. Kornet),81,69
365,4,8:14.0,B. Caboclo enters the game for J. Jackson,,81,69
366,4,8:01.0,,M. Hezonja makes 2-pt jump shot from 4 ft,81,71
367,4,7:38.0,J. Holiday makes 3-pt jump shot from 24 ft (assist by J. Noah),,84,71
368,4,7:25.0,,Turnover by W. Matthews (lost ball; steal by S. Mack),84,71
369,4,7:04.0,S. Mack misses 2-pt jump shot from 11 ft,,84,71
370,4,7:02.0,,Defensive rebound by M. Hezonja,84,71
371,4,6:48.0,,K. Knox misses 3-pt jump shot from 25 ft,84,71
372,4,6:43.0,Defensive rebound by M. Conley,,84,71
373,4,6:38.0,M. Conley makes 2-pt jump shot from 15 ft,,86,71
374,4,6:38.0,,New York full timeout,86,71
375,4,6:38.0,J. Washburn enters the game for S. Mack,,86,71
376,4,6:38.0,,D. Jordan enters the game for L. Kornet,86,71
377,4,6:17.0,,Shooting foul by B. Caboclo (drawn by M. Hezonja),86,71
378,4,6:17.0,,M. Hezonja makes free throw 1 of 2,86,72
