,QUARTER,TIME_REMAINING,BOSTON_ACTION,MINNESOTA_ACTION,BOSTON_SCORE,MINNESOTA_SCORE
307,3,1:15.0,,A. Wiggins misses 3-pt jump shot from 25 ft,83,69
308,3,1:12.0,,Offensive rebound by G. Dieng,83,69
309,3,1:11.0,,T. Jones misses 3-pt jump shot from 22 ft,83,69
310,3,1:07.0,Defensive rebound by A. Horford,,83,69
311,3,1:06.0,T. Rozier makes 2-pt layup from 1 ft,,85,69
312,3,1:06.0,Shooting foul by G. Dieng (drawn by T. Rozier),,85,69
313,3,1:06.0,,N. Bjelica enters the game for A. Wiggins,85,69
314,3,1:06.0,D. Theis enters the game for A. Horford,,85,69
315,3,1:06.0,T. Rozier makes free throw 1 of 1,,86,69
316,3,0:57.0,,J. Crawford makes 3-pt jump shot from 24 ft (assist by K. Towns),86,72
317,3,0:36.0,Offensive foul by D. Theis (drawn by N. Bjelica),,86,72
318,3,0:36.0,Turnover by D. Theis (offensive foul),,86,72
319,3,0:28.0,,T. Jones makes 2-pt layup from 3 ft,86,74
320,3,0:10.0,M. Morris misses 2-pt jump shot from 18 ft,,86,74
321,3,0:08.0,,Defensive rebound by K. Towns,86,74
322,3,0:00.0,,J. Crawford misses 2-pt layup from 1 ft,86,74
323,3,0:00.0,Defensive rebound by J. Tatum,,86,74
324,4,11:38.0,,T. Gibson makes 2-pt jump shot from 12 ft,86,76
325,4,11:19.0,T. Rozier misses 3-pt jump shot from 26 ft,,86,76
326,4,11:17.0,,Defensive rebound by G. Dieng,86,76
327,4,11:06.0,,Personal foul by J. Tatum (drawn by G. Dieng),86,76
328,4,10:58.0,,J. Crawford makes 2-pt jump shot from 20 ft,86,78
329,4,10:34.0,Turnover by J. Tatum (step out of bounds),,86,78
330,4,10:20.0,,Personal foul by T. Rozier (drawn by T. Gibson),86,78
331,4,10:07.0,,N. Bjelica misses 3-pt jump shot from 23 ft,86,78
332,4,10:04.0,Defensive rebound by T. Rozier,,86,78
333,4,10:00.0,J. Tatum misses 3-pt jump shot from 24 ft,,86,78
334,4,9:58.0,Offensive rebound by M. Smart,,86,78
335,4,9:58.0,Shooting foul by G. Dieng (drawn by M. Smart),,86,78
336,4,9:58.0,M. Smart misses free throw 1 of 2,,86,78
337,4,9:58.0,Offensive rebound by Team,,86,78
338,4,9:58.0,M. Smart makes free throw 2 of 2,,87,78
339,4,9:45.0,,J. Crawford makes 2-pt jump shot from 18 ft (assist by T. Gibson),87,80
340,4,9:31.0,Shooting foul by J. Crawford (drawn by M. Smart),,87,80
341,4,9:31.0,M. Smart misses free throw 1 of 2,,87,80
342,4,9:31.0,Offensive rebound by Team,,87,80
