,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,NEW ORLEANS_ACTION,CLEVELAND_SCORE,NEW ORLEANS_SCORE
270,3,5:23.0,L. James makes free throw 1 of 2,,66,80
271,3,5:23.0,L. James makes free throw 2 of 2,,67,80
272,3,5:05.0,,J. Holiday makes 3-pt jump shot from 29 ft (assist by T. Jones),67,83
273,3,4:37.0,I. Shumpert makes 2-pt jump shot from 22 ft,,69,83
274,3,4:33.0,,B. Hield misses 2-pt layup from 2 ft,69,83
275,3,4:32.0,Defensive rebound by T. Thompson,,69,83
276,3,4:27.0,Personal foul by T. Jones (drawn by K. Irving),,69,83
277,3,4:27.0,K. Irving makes free throw 1 of 2,,70,83
278,3,4:27.0,,E. Moore enters the game for B. Hield,70,83
279,3,4:27.0,K. Irving makes free throw 2 of 2,,71,83
280,3,4:09.0,,Shooting foul by K. Love (drawn by T. Jones),71,83
281,3,4:09.0,,T. Jones misses free throw 1 of 2,71,83
282,3,4:09.0,,Offensive rebound by Team,71,83
283,3,4:09.0,,T. Jones makes free throw 2 of 2,71,84
284,3,3:56.0,L. James misses 3-pt jump shot from 24 ft,,71,84
285,3,3:56.0,,Defensive rebound by J. Holiday,71,84
286,3,3:50.0,,T. Jones misses 2-pt jump shot from 7 ft,71,84
287,3,3:49.0,Defensive rebound by L. James,,71,84
288,3,3:36.0,K. Irving makes 2-pt layup from 2 ft,,73,84
289,3,3:36.0,Shooting foul by S. Hill (drawn by K. Irving),,73,84
290,3,3:36.0,K. Korver enters the game for T. Thompson,,73,84
291,3,3:36.0,K. Irving makes free throw 1 of 1,,74,84
292,3,3:26.0,,J. Holiday makes 2-pt layup from 2 ft,74,86
293,3,3:18.0,K. Irving makes 3-pt jump shot from 26 ft (assist by I. Shumpert),,77,86
294,3,2:57.0,,T. Jones makes 2-pt jump shot from 18 ft,77,88
295,3,2:35.0,K. Irving misses 2-pt layup from 2 ft (block by J. Holiday),,77,88
296,3,2:35.0,,Defensive rebound by Team,77,88
297,3,2:35.0,Cleveland full timeout,,77,88
298,3,2:35.0,,L. Galloway enters the game for S. Hill,77,88
299,3,2:26.0,,D. Cunningham makes 2-pt layup from 2 ft (assist by E. Moore),77,90
300,3,2:04.0,K. Love misses 3-pt jump shot from 24 ft,,77,90
301,3,2:03.0,,Defensive rebound by J. Holiday,77,90
302,3,1:51.0,,Shooting foul by K. Irving (drawn by E. Moore),77,90
303,3,1:51.0,,E. Moore makes free throw 1 of 2,77,91
304,3,1:51.0,,E. Moore misses free throw 2 of 2,77,91
305,3,1:51.0,,D. Motiejūnas enters the game for T. Jones,77,91
306,3,1:51.0,R. Jefferson enters the game for L. James,,77,91
307,3,1:49.0,Defensive rebound by K. Korver,,77,91
308,3,1:39.0,,Violation by L. Galloway (kicked ball),77,91
309,3,1:39.0,,T. Evans enters the game for D. Cunningham,77,91
310,3,1:27.0,R. Jefferson misses 2-pt layup from 2 ft,,77,91
311,3,1:25.0,Offensive rebound by K. Love,,77,91
