,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,OKLAHOMA CITY_ACTION,WASHINGTON_SCORE,OKLAHOMA CITY_SCORE
354,4,10:11.0,T. Satoranský misses 3-pt jump shot from 22 ft,,86,84
355,4,10:11.0,,Defensive rebound by D. Sabonis,86,84
356,4,9:55.0,,Personal foul by M. Thornton (drawn by A. Morrow),86,84
357,4,9:55.0,M. Morris enters the game for O. Porter,,86,84
358,4,9:46.0,,J. Lauvergne misses 2-pt jump shot from 14 ft,86,84
359,4,9:45.0,Defensive rebound by T. Satoranský,,86,84
360,4,9:33.0,M. Morris misses 3-pt jump shot from 25 ft,,86,84
361,4,9:33.0,,Defensive rebound by V. Oladipo,86,84
362,4,9:29.0,,D. Sabonis makes 2-pt layup from 2 ft (assist by V. Oladipo),86,86
363,4,9:08.0,M. Morris misses 2-pt jump shot from 11 ft,,86,86
364,4,9:08.0,Offensive rebound by Team,,86,86
365,4,9:08.0,,Loose ball foul by D. Sabonis (drawn by K. Oubre),86,86
366,4,9:08.0,,R. Westbrook enters the game for S. Christon,86,86
367,4,9:08.0,J. Wall enters the game for T. Satoranský,,86,86
368,4,9:08.0,B. Beal enters the game for J. Smith,,86,86
369,4,8:47.0,K. Oubre makes 3-pt jump shot from 25 ft (assist by J. Wall),,89,86
370,4,8:41.0,,Personal foul by K. Oubre (drawn by D. Sabonis),89,86
371,4,8:41.0,Official timeout,,89,86
