,QUARTER,TIME_REMAINING,ATLANTA_ACTION,ORLANDO_ACTION,ATLANTA_SCORE,ORLANDO_SCORE
28,1,7:50.0,P. Millsap makes 2-pt jump shot from 9 ft,,10,4
29,1,7:50.0,Shooting foul by S. Ibaka (drawn by P. Millsap),,10,4
30,1,7:50.0,P. Millsap misses free throw 1 of 1,,10,4
31,1,7:48.0,,Defensive rebound by S. Ibaka,10,4
32,1,7:39.0,,A. Gordon makes 3-pt jump shot from 26 ft,10,7
33,1,7:22.0,D. Howard makes 2-pt layup from 2 ft (assist by K. Bazemore),,12,7
34,1,7:22.0,Shooting foul by J. Meeks (drawn by D. Howard),,12,7
35,1,7:22.0,D. Howard makes free throw 1 of 1,,13,7
36,1,6:56.0,,A. Gordon misses 3-pt jump shot from 25 ft,13,7
37,1,6:55.0,Defensive rebound by D. Howard,,13,7
38,1,6:46.0,D. Howard makes 2-pt dunk at rim (assist by K. Bazemore),,15,7
39,1,6:27.0,,Turnover by B. Biyombo (lost ball; steal by P. Millsap),15,7
40,1,6:13.0,,Offensive charge foul by P. Millsap (drawn by A. Gordon),15,7
41,1,6:13.0,Turnover by P. Millsap (offensive foul),,15,7
42,1,6:04.0,,Shooting foul by D. Howard (drawn by S. Ibaka),15,7
43,1,6:04.0,,S. Ibaka makes 2-pt layup from 3 ft (assist by E. Payton),15,9
44,1,6:04.0,,S. Ibaka makes free throw 1 of 1,15,10
45,1,5:56.0,D. Schröder makes 2-pt jump shot from 21 ft (assist by P. Millsap),,17,10
46,1,5:40.0,,J. Meeks misses 2-pt layup from 2 ft,17,10
47,1,5:38.0,Defensive rebound by D. Schröder,,17,10
48,1,5:29.0,Personal foul by A. Gordon (drawn by K. Bazemore),,17,10
49,1,5:29.0,,E. Fournier enters the game for J. Meeks,17,10
50,1,5:29.0,,N. Vučević enters the game for B. Biyombo,17,10
51,1,5:29.0,K. Korver enters the game for K. Bazemore,,17,10
52,1,5:23.0,Turnover by P. Millsap (lost ball; steal by E. Payton),,17,10
53,1,5:19.0,,E. Payton misses 2-pt jump shot from 5 ft,17,10
54,1,5:16.0,Defensive rebound by D. Schröder,,17,10
55,1,5:13.0,Turnover by D. Schröder (bad pass; steal by S. Ibaka),,17,10
56,1,4:55.0,,A. Gordon makes 2-pt jump shot from 18 ft (assist by E. Payton),17,12
57,1,4:41.0,T. Sefolosha misses 2-pt jump shot from 8 ft,,17,12
58,1,4:40.0,,Defensive rebound by S. Ibaka,17,12
59,1,4:32.0,,A. Gordon makes 3-pt jump shot from 26 ft (assist by E. Payton),17,15
60,1,4:10.0,,Violation by S. Ibaka (def goaltending),17,15
61,1,4:10.0,P. Millsap makes 2-pt layup from 2 ft,,19,15
62,1,3:46.0,,S. Ibaka misses 2-pt jump shot from 12 ft,19,15
63,1,3:45.0,Defensive rebound by D. Howard,,19,15
64,1,3:33.0,P. Millsap makes 2-pt jump shot from 12 ft (assist by K. Korver),,21,15
65,1,3:20.0,,Turnover by E. Fournier (lost ball; steal by P. Millsap),21,15
66,1,3:08.0,Turnover by P. Millsap (lost ball; steal by E. Fournier),,21,15
67,1,3:02.0,,E. Payton misses 2-pt layup from 2 ft,21,15
68,1,3:02.0,,Offensive rebound by A. Gordon,21,15
69,1,3:02.0,,A. Gordon makes 2-pt layup from 1 ft,21,17
70,1,3:02.0,Atlanta full timeout,,21,17
71,1,3:02.0,T. Hardaway enters the game for T. Sefolosha,,21,17
72,1,3:02.0,M. Delaney enters the game for D. Howard,,21,17
73,1,3:02.0,M. Muscala enters the game for D. Schröder,,21,17
74,1,2:46.0,K. Korver misses 2-pt jump shot from 17 ft,,21,17
75,1,2:45.0,,Defensive rebound by A. Gordon,21,17
76,1,2:28.0,,S. Ibaka misses 3-pt jump shot from 26 ft,21,17
77,1,2:27.0,,Offensive rebound by A. Gordon,21,17
78,1,2:24.0,,E. Payton makes 2-pt layup from 2 ft (assist by A. Gordon),21,19
79,1,2:00.0,Turnover by M. Muscala (lost ball; steal by E. Payton),,21,19
80,1,1:57.0,,E. Payton makes 2-pt layup from 3 ft,21,21
81,1,1:57.0,,Shooting foul by M. Delaney (drawn by E. Payton),21,21
82,1,1:57.0,K. Humphries enters the game for P. Millsap,,21,21
83,1,1:57.0,,J. Green enters the game for A. Gordon,21,21
84,1,1:57.0,,E. Payton makes free throw 1 of 1,21,22
85,1,1:42.0,K. Korver misses 2-pt jump shot from 14 ft,,21,22
86,1,1:41.0,,Defensive rebound by N. Vučević,21,22
87,1,1:29.0,,Turnover by S. Ibaka (lost ball; steal by M. Muscala),21,22
88,1,1:12.0,M. Delaney misses 2-pt jump shot from 17 ft,,21,22
89,1,1:11.0,,Defensive rebound by S. Ibaka,21,22
90,1,0:56.0,,N. Vučević makes 2-pt hook shot from 8 ft,21,24
91,1,0:39.0,K. Humphries misses 2-pt dunk at rim (block by J. Green),,21,24
92,1,0:39.0,Offensive rebound by Team,,21,24
