,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,BROOKLYN_ACTION,MEMPHIS_SCORE,BROOKLYN_SCORE
291,3,0:03.0,T. Douglas misses 3-pt jump shot from 26 ft,,79,72
292,3,0:00.0,,Defensive rebound by L. Scola,79,72
293,4,11:45.0,,C. LeVert misses 3-pt jump shot from 25 ft,79,72
294,4,11:44.0,,Offensive rebound by L. Scola,79,72
295,4,11:35.0,,T. Booker makes 2-pt layup from 2 ft (assist by I. Whitehead),79,74
296,4,11:18.0,V. Carter makes 3-pt jump shot from 25 ft (assist by Z. Randolph),,82,74
297,4,11:04.0,,T. Booker misses 2-pt jump shot from 6 ft,82,74
298,4,11:03.0,Defensive rebound by B. Wright,,82,74
299,4,10:55.0,Personal foul by I. Whitehead (drawn by B. Wright),,82,74
300,4,10:47.0,B. Wright makes 2-pt layup from 2 ft (assist by T. Douglas),,84,74
301,4,10:47.0,Shooting foul by I. Whitehead (drawn by B. Wright),,84,74
302,4,10:47.0,B. Wright makes free throw 1 of 1,,85,74
303,4,10:30.0,,L. Scola misses 3-pt jump shot from 25 ft,85,74
304,4,10:29.0,Defensive rebound by T. Douglas,,85,74
305,4,10:16.0,Z. Randolph misses 2-pt jump shot from 21 ft,,85,74
306,4,10:15.0,,Defensive rebound by L. Scola,85,74
307,4,10:07.0,,I. Whitehead makes 3-pt jump shot from 24 ft (assist by S. Kilpatrick),85,77
308,4,9:49.0,Z. Randolph makes 2-pt layup from 2 ft (assist by B. Wright),,87,77
309,4,9:30.0,,S. Kilpatrick misses 3-pt jump shot from 25 ft,87,77
310,4,9:29.0,Defensive rebound by B. Wright,,87,77
311,4,9:22.0,,Offensive charge foul by Z. Randolph (drawn by I. Whitehead),87,77
312,4,9:22.0,Turnover by Z. Randolph (offensive foul),,87,77
313,4,9:22.0,M. Conley enters the game for T. Douglas,,87,77
314,4,9:11.0,,S. Kilpatrick misses 2-pt jump shot from 7 ft,87,77
315,4,9:10.0,,Offensive rebound by T. Booker,87,77
316,4,9:07.0,,T. Booker makes 2-pt layup from 2 ft,87,79
317,4,8:55.0,Personal foul by S. Kilpatrick (drawn by T. Daniels),,87,79
318,4,8:55.0,Official timeout,,87,79
319,4,8:55.0,,S. Dinwiddie enters the game for I. Whitehead,87,79
320,4,8:48.0,Turnover by M. Conley (bad pass; steal by T. Booker),,87,79
321,4,8:46.0,,Turnover by T. Booker (lost ball; steal by Z. Randolph),87,79
322,4,8:27.0,T. Daniels makes 3-pt jump shot from 27 ft (assist by M. Conley),,90,79
323,4,8:14.0,,C. LeVert misses 3-pt jump shot from 25 ft,90,79
324,4,8:13.0,Defensive rebound by T. Daniels,,90,79
325,4,7:58.0,B. Wright makes 2-pt dunk at rim (assist by T. Daniels),,92,79
326,4,7:30.0,,Turnover by S. Kilpatrick (bad pass; steal by M. Conley),92,79
327,4,7:24.0,T. Daniels makes 3-pt jump shot from 27 ft (assist by M. Conley),,95,79
328,4,7:23.0,,Brooklyn full timeout,95,79
329,4,7:23.0,M. Gasol enters the game for Z. Randolph,,95,79
330,4,7:23.0,,B. Lopez enters the game for L. Scola,95,79
331,4,7:23.0,,B. Bogdanović enters the game for C. LeVert,95,79
332,4,7:23.0,,R. Hollis-Jefferson enters the game for T. Booker,95,79
333,4,7:05.0,,S. Kilpatrick misses 3-pt jump shot from 24 ft,95,79
334,4,7:04.0,Defensive rebound by Team,,95,79
335,4,6:50.0,T. Daniels misses 3-pt jump shot from 25 ft,,95,79
336,4,6:49.0,,Defensive rebound by S. Dinwiddie,95,79
337,4,6:46.0,,Turnover by B. Bogdanović (discontinued dribble),95,79
338,4,6:34.0,M. Conley misses 2-pt jump shot from 18 ft,,95,79
339,4,6:33.0,,Defensive rebound by Team,95,79
340,4,6:19.0,,Shooting foul by V. Carter (drawn by R. Hollis-Jefferson),95,79
341,4,6:19.0,,R. Hollis-Jefferson makes free throw 1 of 2,95,80
342,4,6:19.0,,R. Hollis-Jefferson makes free throw 2 of 2,95,81
343,4,6:06.0,V. Carter misses 3-pt jump shot from 25 ft,,95,81
344,4,6:05.0,,Defensive rebound by S. Kilpatrick,95,81
345,4,5:51.0,Violation by V. Carter (def goaltending),,95,81
346,4,5:51.0,,B. Lopez makes 2-pt hook shot from 7 ft,95,83
347,4,5:37.0,V. Carter makes 2-pt layup from 2 ft,,97,83
348,4,5:23.0,,S. Dinwiddie makes 3-pt jump shot from 25 ft,97,86
349,4,5:05.0,B. Wright makes 2-pt layup from 1 ft (assist by V. Carter),,99,86
350,4,4:57.0,,S. Dinwiddie makes 3-pt jump shot from 25 ft,99,89
351,4,4:57.0,,Shooting foul by M. Conley (drawn by S. Dinwiddie),99,89
352,4,4:57.0,,C. LeVert enters the game for S. Kilpatrick,99,89
353,4,4:57.0,,S. Dinwiddie makes free throw 1 of 1,99,90
354,4,4:45.0,B. Wright misses 2-pt layup at rim,,99,90
355,4,4:44.0,,Defensive rebound by S. Dinwiddie,99,90
356,4,4:40.0,,B. Bogdanović misses 3-pt jump shot from 23 ft,99,90
357,4,4:38.0,Defensive rebound by M. Gasol,,99,90
358,4,4:14.0,M. Gasol misses 3-pt jump shot from 26 ft,,99,90
359,4,4:13.0,,Defensive rebound by Team,99,90
360,4,3:55.0,,R. Hollis-Jefferson makes 2-pt dunk at rim (assist by B. Lopez),99,92
361,4,3:53.0,Memphis full timeout,,99,92
362,4,3:53.0,T. Douglas enters the game for V. Carter,,99,92
363,4,3:53.0,J. Ennis enters the game for T. Daniels,,99,92
