,QUARTER,TIME_REMAINING,PORTLAND_ACTION,DALLAS_ACTION,PORTLAND_SCORE,DALLAS_SCORE
324,3,0:31.0,,S. Curry makes free throw 2 of 2,83,80
325,3,0:17.0,A. Aminu makes 3-pt jump shot from 23 ft (assist by C. McCollum),,86,80
326,3,0:02.0,,S. Curry makes 2-pt jump shot from 22 ft,86,82
327,3,0:00.0,D. Lillard misses 3-pt jump shot from 58 ft,,86,82
328,3,0:00.0,Offensive rebound by Team,,86,82
329,4,11:46.0,C. McCollum makes 2-pt jump shot from 18 ft,,88,82
330,4,11:21.0,,D. Nowitzki makes 2-pt jump shot from 8 ft,88,84
331,4,11:07.0,C. McCollum misses 3-pt jump shot from 23 ft,,88,84
332,4,11:05.0,,Defensive rebound by S. Mejri,88,84
333,4,10:56.0,,S. Mejri makes 2-pt layup from 2 ft (assist by S. Curry),88,86
334,4,10:38.0,A. Crabbe misses 3-pt jump shot from 25 ft,,88,86
335,4,10:37.0,,Defensive rebound by Y. Ferrell,88,86
336,4,10:30.0,,Shooting foul by D. Lillard (drawn by D. Nowitzki),88,86
337,4,10:30.0,,D. Nowitzki makes free throw 1 of 3,88,87
338,4,10:30.0,,D. Nowitzki makes free throw 2 of 3,88,88
339,4,10:30.0,M. Plumlee enters the game for E. Davis,,88,88
340,4,10:30.0,,D. Nowitzki makes free throw 3 of 3,88,89
341,4,10:13.0,C. McCollum makes 2-pt jump shot from 15 ft (assist by D. Lillard),,90,89
342,4,10:00.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,90,89
343,4,10:00.0,Defensive rebound by M. Plumlee,,90,89
344,4,10:00.0,Personal foul by S. Mejri (drawn by M. Plumlee),,90,89
345,4,9:46.0,D. Lillard makes 2-pt jump shot from 20 ft,,92,89
346,4,9:27.0,,D. Nowitzki misses 2-pt jump shot from 9 ft (block by A. Aminu),92,89
347,4,9:25.0,Defensive rebound by M. Plumlee,,92,89
348,4,9:18.0,Personal foul by D. Nowitzki (drawn by D. Lillard),,92,89
349,4,9:18.0,M. Harkless enters the game for A. Crabbe,,92,89
350,4,9:15.0,Shooting foul by D. Finney-Smith (drawn by M. Plumlee),,92,89
351,4,9:15.0,M. Plumlee makes free throw 1 of 2,,93,89
352,4,9:15.0,,H. Barnes enters the game for S. Mejri,93,89
353,4,9:15.0,,W. Matthews enters the game for D. Finney-Smith,93,89
354,4,9:15.0,M. Plumlee makes free throw 2 of 2,,94,89
355,4,8:51.0,,W. Matthews misses 2-pt jump shot from 12 ft,94,89
356,4,8:50.0,Defensive rebound by A. Aminu,,94,89
357,4,8:41.0,C. McCollum makes 3-pt jump shot from 24 ft,,97,89
358,4,8:40.0,,Dallas full timeout,97,89
359,4,8:30.0,,Personal foul by M. Plumlee (drawn by D. Nowitzki),97,89
360,4,8:20.0,,W. Matthews misses 3-pt jump shot from 23 ft,97,89
361,4,8:19.0,Defensive rebound by M. Plumlee,,97,89
362,4,8:03.0,A. Aminu misses 2-pt layup from 2 ft,,97,89
363,4,8:02.0,Offensive rebound by A. Aminu,,97,89
364,4,8:02.0,A. Aminu makes 2-pt layup at rim,,99,89
365,4,7:50.0,,Y. Ferrell misses 3-pt jump shot from 24 ft,99,89
366,4,7:49.0,Defensive rebound by A. Aminu,,99,89
367,4,7:35.0,D. Lillard misses 2-pt jump shot from 19 ft,,99,89
368,4,7:34.0,Offensive rebound by M. Plumlee,,99,89
369,4,7:19.0,Shooting foul by W. Matthews (drawn by M. Plumlee),,99,89
370,4,7:19.0,M. Plumlee makes free throw 1 of 2,,100,89
