,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,NEW ORLEANS_ACTION,BROOKLYN_SCORE,NEW ORLEANS_SCORE
299,3,3:48.0,,Turnover by J. Holiday (bad pass),92,74
300,3,3:39.0,C. LeVert makes 2-pt dunk at rim,,94,74
301,3,3:30.0,,J. Holiday misses 2-pt jump shot from 18 ft,94,74
302,3,3:29.0,Defensive rebound by R. Hollis-Jefferson,,94,74
303,3,3:23.0,Shooting foul by D. Cunningham (drawn by R. Hollis-Jefferson),,94,74
304,3,3:23.0,R. Hollis-Jefferson makes free throw 1 of 2,,95,74
305,3,3:23.0,R. Hollis-Jefferson misses free throw 2 of 2,,95,74
306,3,3:23.0,,T. Evans enters the game for J. Holiday,95,74
307,3,3:22.0,,Defensive rebound by D. Cunningham,95,74
308,3,3:06.0,,T. Jones misses 2-pt layup from 3 ft (block by I. Whitehead),95,74
309,3,3:05.0,Defensive rebound by C. LeVert,,95,74
310,3,2:59.0,R. Foye makes 3-pt jump shot from 24 ft (assist by R. Hollis-Jefferson),,98,74
311,3,2:59.0,,New Orleans full timeout,98,74
312,3,2:41.0,,L. Galloway misses 2-pt layup from 2 ft (block by C. LeVert),98,74
313,3,2:41.0,,Offensive rebound by T. Jones,98,74
314,3,2:41.0,,Shooting foul by I. Whitehead (drawn by T. Jones),98,74
315,3,2:41.0,,T. Jones makes free throw 1 of 2,98,75
316,3,2:41.0,,T. Jones makes free throw 2 of 2,98,76
317,3,2:28.0,R. Hollis-Jefferson makes 2-pt layup from 3 ft,,100,76
318,3,2:09.0,,E. Moore misses 3-pt jump shot from 26 ft,100,76
319,3,2:08.0,Defensive rebound by R. Hollis-Jefferson,,100,76
320,3,2:02.0,Turnover by R. Hollis-Jefferson (lost ball),,100,76
321,3,1:58.0,,Shooting foul by C. LeVert (drawn by T. Evans),100,76
322,3,1:58.0,,T. Evans makes free throw 1 of 2,100,77
323,3,1:58.0,,T. Evans misses free throw 2 of 2,100,77
324,3,1:55.0,,Offensive rebound by T. Evans,100,77
325,3,1:48.0,,T. Jones misses 2-pt layup from 1 ft,100,77
326,3,1:48.0,,Offensive rebound by T. Jones,100,77
327,3,1:44.0,,T. Jones makes 2-pt dunk at rim,100,79
328,3,1:33.0,Q. Acy makes 3-pt jump shot from 25 ft (assist by I. Whitehead),,103,79
329,3,1:20.0,,T. Evans misses 2-pt jump shot from 21 ft,103,79
330,3,1:20.0,Defensive rebound by Q. Acy,,103,79
331,3,1:08.0,Shooting foul by L. Galloway (drawn by Q. Acy),,103,79
332,3,1:08.0,Q. Acy makes free throw 1 of 2,,104,79
333,3,1:08.0,Q. Acy makes free throw 2 of 2,,105,79
334,3,0:56.0,,Shooting block foul by Q. Acy (drawn by T. Jones),105,79
335,3,0:56.0,,T. Jones makes free throw 1 of 2,105,80
336,3,0:56.0,,B. Hield enters the game for E. Moore,105,80
337,3,0:56.0,,T. Jones makes free throw 2 of 2,105,81
338,3,0:38.0,I. Whitehead misses 2-pt dunk at rim (block by T. Jones),,105,81
339,3,0:37.0,Offensive rebound by C. LeVert,,105,81
340,3,0:34.0,I. Whitehead makes 2-pt dunk at rim (assist by C. LeVert),,107,81
341,3,0:22.0,,D. Cunningham makes 3-pt jump shot from 25 ft (assist by L. Galloway),107,84
342,3,0:03.0,Personal foul by T. Evans (drawn by C. LeVert),,107,84
343,3,0:03.0,C. LeVert makes free throw 1 of 2,,108,84
