,QUARTER,TIME_REMAINING,INDIANA_ACTION,UTAH_ACTION,INDIANA_SCORE,UTAH_SCORE
369,4,6:16.0,Defensive rebound by T. Young,,83,97
370,4,6:12.0,T. Young misses 2-pt dunk at rim,,83,97
371,4,6:10.0,,Defensive rebound by J. Johnson,83,97
372,4,6:04.0,,R. Gobert makes 2-pt dunk at rim (assist by A. Burks),83,99
373,4,6:04.0,Indiana full timeout,,83,99
374,4,6:04.0,M. Turner enters the game for A. Jefferson,,83,99
375,4,5:49.0,C. Miles makes 3-pt jump shot from 24 ft (assist by J. Teague),,86,99
376,4,5:30.0,,Shooting foul by M. Ellis (drawn by A. Burks),86,99
377,4,5:30.0,,A. Burks makes free throw 1 of 2,86,100
378,4,5:30.0,,A. Burks makes free throw 2 of 2,86,101
379,4,5:16.0,M. Turner makes 2-pt hook shot from 5 ft (assist by T. Young),,88,101
380,4,5:00.0,,Turnover by A. Burks (bad pass; steal by M. Ellis),88,101
381,4,4:56.0,Turnover by T. Young (lost ball; steal by A. Burks),,88,101
382,4,4:44.0,,J. Ingles misses 3-pt jump shot from 24 ft,88,101
