,QUARTER,TIME_REMAINING,BOSTON_ACTION,MILWAUKEE_ACTION,BOSTON_SCORE,MILWAUKEE_SCORE
37,1,6:53.0,T. Zeller makes 2-pt layup at rim (assist by M. Smart),,7,12
38,1,6:35.0,,M. Carter-Williams makes 2-pt jump shot from 15 ft,7,14
39,1,6:27.0,Personal block foul by G. Antetokounmpo (drawn by E. Turner),,7,14
40,1,6:13.0,E. Turner makes 2-pt jump shot from 15 ft (assist by L. Datome),,9,14
41,1,5:49.0,,K. Middleton makes 2-pt jump shot from 16 ft (assist by G. Antetokounmpo),9,16
42,1,5:40.0,T. Zeller makes 2-pt dunk at rim (assist by E. Turner),,11,16
43,1,5:24.0,,E. İlyasova makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),11,19
44,1,5:22.0,Boston full timeout,,11,19
45,1,5:22.0,G. Wallace enters the game for L. Datome,,11,19
46,1,5:09.0,B. Bass misses 2-pt jump shot from 13 ft,,11,19
