,QUARTER,TIME_REMAINING,ATLANTA_ACTION,PHILADELPHIA_ACTION,ATLANTA_SCORE,PHILADELPHIA_SCORE
278,3,3:29.0,,Offensive rebound by Team,66,49
279,3,3:29.0,,N. Noel misses free throw 2 of 2,66,49
280,3,3:27.0,Defensive rebound by T. Sefolosha,,66,49
281,3,3:11.0,D. Schröder misses 2-pt jump shot from 11 ft (block by J. Grant),,66,49
282,3,3:11.0,Offensive rebound by Team,,66,49
283,3,3:11.0,Atlanta full timeout,,66,49
284,3,3:11.0,S. Mack enters the game for D. Schröder,,66,49
285,3,3:08.0,K. Bazemore misses 2-pt jump shot from 4 ft (block by M. Carter-Williams),,66,49
286,3,3:05.0,,Defensive rebound by T. Wroten,66,49
287,3,2:55.0,,Shooting foul by E. Brand (drawn by T. Wroten),66,49
288,3,2:55.0,,T. Wroten misses free throw 1 of 2,66,49
289,3,2:55.0,,Offensive rebound by Team,66,49
290,3,2:55.0,,T. Wroten misses free throw 2 of 2,66,49
291,3,2:54.0,Defensive rebound by T. Sefolosha,,66,49
292,3,2:36.0,K. Bazemore misses 3-pt jump shot from 25 ft,,66,49
293,3,2:34.0,,Defensive rebound by M. Carter-Williams,66,49
294,3,2:30.0,Violation by E. Brand (def goaltending),,66,49
295,3,2:30.0,,T. Wroten makes 2-pt layup from 1 ft (assist by M. Carter-Williams),66,51
296,3,2:14.0,M. Scott misses 2-pt layup from 1 ft,,66,51
297,3,2:13.0,Offensive rebound by E. Brand,,66,51
298,3,2:13.0,E. Brand misses 2-pt layup from 2 ft,,66,51
299,3,2:11.0,Offensive rebound by E. Brand,,66,51
300,3,2:11.0,E. Brand makes 2-pt layup from 2 ft,,68,51
301,3,1:55.0,,K. McDaniels enters the game for M. Carter-Williams,68,51
302,3,1:55.0,,R. Covington enters the game for N. Noel,68,51
303,3,1:55.0,K. Korver enters the game for T. Sefolosha,,68,51
304,3,1:49.0,,T. Wroten misses 2-pt layup from 1 ft,68,51
305,3,1:47.0,Defensive rebound by K. Korver,,68,51
306,3,1:42.0,Turnover by S. Mack (bad pass),,68,51
307,3,1:33.0,,T. Wroten misses 2-pt jump shot from 4 ft,68,51
