,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,PORTLAND_ACTION,MEMPHIS_SCORE,PORTLAND_SCORE
303,3,0:56.0,Z. Randolph misses free throw 1 of 2,,81,68
304,3,0:56.0,Offensive rebound by Team,,81,68
305,3,0:56.0,Z. Randolph misses free throw 2 of 2,,81,68
306,3,0:56.0,,Defensive rebound by C. Kaman,81,68
307,3,0:49.0,,A. Crabbe misses 3-pt jump shot from 22 ft,81,68
308,3,0:48.0,Defensive rebound by M. Conley,,81,68
309,3,0:35.0,M. Gasol makes 2-pt jump shot from 17 ft,,83,68
310,3,0:16.0,,L. Aldridge makes 2-pt jump shot from 13 ft,83,70
311,3,0:00.0,M. Conley misses 2-pt layup from 1 ft (block by L. Aldridge),,83,70
312,3,0:00.0,Offensive rebound by Team,,83,70
313,4,11:49.0,,W. Matthews makes 3-pt jump shot from 24 ft (assist by S. Blake),83,73
314,4,11:37.0,Personal foul by C. Kaman (drawn by Z. Randolph),,83,73
315,4,11:31.0,Personal foul by C. Kaman (drawn by Z. Randolph),,83,73
316,4,11:17.0,C. Lee makes 2-pt jump shot from 13 ft,,85,73
317,4,10:58.0,,C. Kaman misses 2-pt hook shot from 3 ft,85,73
318,4,10:58.0,Defensive rebound by Team,,85,73
319,4,10:58.0,,Loose ball foul by J. Freeland (drawn by Z. Randolph),85,73
320,4,10:58.0,J. Leuer enters the game for Z. Randolph,,85,73
321,4,10:47.0,Q. Pondexter makes 2-pt jump shot from 20 ft (assist by K. Koufos),,87,73
322,4,10:28.0,,W. Matthews misses 2-pt jump shot from 9 ft,87,73
323,4,10:28.0,Defensive rebound by Team,,87,73
324,4,10:28.0,,D. Lillard enters the game for N. Batum,87,73
325,4,10:10.0,Q. Pondexter misses 3-pt jump shot from 24 ft,,87,73
326,4,10:09.0,,Defensive rebound by Team,87,73
327,4,10:09.0,Loose ball foul by J. Leuer (drawn by J. Freeland),,87,73
328,4,10:00.0,,D. Lillard makes 2-pt jump shot from 19 ft,87,75
329,4,9:45.0,B. Udrih makes 2-pt jump shot from 17 ft,,89,75
330,4,9:34.0,,D. Lillard misses 3-pt jump shot from 24 ft,89,75
331,4,9:33.0,,Offensive rebound by J. Freeland,89,75
332,4,9:26.0,,C. Kaman misses 2-pt hook shot from 5 ft,89,75
333,4,9:24.0,,Offensive rebound by C. Kaman,89,75
334,4,9:24.0,,C. Kaman makes 2-pt hook shot from 5 ft,89,77
335,4,9:07.0,Turnover by K. Koufos (bad pass),,89,77
336,4,9:07.0,T. Allen enters the game for C. Lee,,89,77
337,4,8:55.0,,C. Kaman makes 2-pt hook shot from 3 ft (assist by D. Lillard),89,79
338,4,8:55.0,,Shooting foul by K. Koufos (drawn by C. Kaman),89,79
339,4,8:55.0,Official timeout,,89,79
340,4,8:55.0,,C. Kaman makes free throw 1 of 1,89,80
341,4,8:40.0,B. Udrih misses 2-pt jump shot from 12 ft,,89,80
342,4,8:38.0,,Defensive rebound by J. Freeland,89,80
343,4,8:35.0,,Turnover by C. Kaman (bad pass; steal by T. Allen),89,80
344,4,8:32.0,T. Allen misses 2-pt layup from 2 ft (block by C. Kaman),,89,80
345,4,8:32.0,Offensive rebound by Team,,89,80
346,4,8:18.0,J. Leuer misses 2-pt hook shot from 4 ft,,89,80
347,4,8:17.0,,Defensive rebound by C. Kaman,89,80
348,4,8:04.0,,W. Matthews makes 3-pt jump shot from 24 ft (assist by D. Lillard),89,83
349,4,7:50.0,B. Udrih misses 2-pt jump shot from 4 ft (block by C. Kaman),,89,83
350,4,7:50.0,Offensive rebound by Team,,89,83
351,4,7:50.0,M. Conley enters the game for B. Udrih,,89,83
352,4,7:50.0,M. Gasol enters the game for K. Koufos,,89,83
353,4,7:50.0,,L. Aldridge enters the game for S. Blake,89,83
354,4,7:50.0,,N. Batum enters the game for J. Freeland,89,83
355,4,7:43.0,M. Conley misses 2-pt jump shot from 23 ft,,89,83
356,4,7:42.0,,Defensive rebound by W. Matthews,89,83
